product_name,category,description,brand,is_boycotted
Bisco Misr Maamoul,biscuit,cookies date nut fill biscuit,Bisco Food Industries,1
Oreo Original Sandwich Cookies,biscuit,chocolate sandwich cookies vanilla cream center,Mondelez International,1
Corona Bimbo Hazelnut Cream Chocolate,biscuit,chocolate bar hazelnut cream fill cookies,Corona,0
Dark Chocolate Digestives,biscuit,digestive biscuits top layer dark chocolate cookies,McVitie's,0
Original Digestives,biscuit,whole wheat biscuits lightly sweet crumbly texture,McVitie's,0
Fine Foods Chicken Broth Cubes,broth,chicken bouillon cub concentrate flavor cube pack,Fine Foods,1
Maggi Chicken Broth Cubes,broth,umami bouillon cub hydrolyze vegetable protein cube box,Nestle,1
Weals Bulk Chicken Stock,broth,bulk chicken stock suitable commercial kitchens large scale cook,Weals Food,0
Americana Foul Medames Fava Beans,canned foods,pre cook fava bean spice tomato sauce g can,Americana,1
Americana Hummus,canned foods,chickpea dip tahini garlic blend g can,Americana,1
AMR Chickpeas,canned foods,versatile legumes perfect hummus salads stew,Egypt,0
AMR Fava Beans,Canned foods,traditional egyptian dish ready heat serve,Egypt,0
La Vache Qui Rit Original Spreadable Cheese,cheese,triangular cheese portion portion pack,La Vache Qui Rit,1
Kiri Cream Cheese Squares,cheese,square spread cheese snack mild tangy taste,Kiri,1
Domty Feta Cheese,cheese,traditional white cheese available classic low salt light variants,Domty,1
Domty Feta Cheese with Olives,cheese,feta cheese infuse olive piece add flavor,Domty,1
Cheddar Flavored Spread 500g,cheese,cheddar cheese flavor spread smooth consistency,Dina Farms,0
Feta Cheese with Cheddar Flavor,cheese,feta cheese enhance cheddar flavor,Obour Land,0
Triangular Cheese,cheese,cheese triangular individually wrap,Dina Farms,0
Big Chips Salt and Vinegar,chips,potato chip vinegar balance touch salt,"Tart, Salty",0
Big Chips Spiced Cheese,chips,potato chip cheese coat,"Spicy, Cheesy",0
Windows Puffs With Cheese,chips,"Potatoes , puff , salty ,cheesy flavor, savory, natural, fiber-rich",Americana,1
Lion Kebab Flavored Chips,chips,"savory , kebab , delectable, crispy ,Potatoes , full-bodied , flavorful .savory",Americana,1
Lion Chips with Chili & Lemon,chips,"spicy , lemony , full-bodied , crispy, Potatoes , delectable , flavorful , sour , savory",Americana,1
Big Chips Seasoned Cheese Potato Chips,chips,"flavored , cheesy ,delectable ,crispy,savory , palm oil , fresh ,Seasoned , Potatoes ",Egypt Foods,0
Big Chips Vinegar and Salt Potato Chips,chips,"salty, vinegary, tangy, potato, palm-olein, seasoned",Egypt Foods,0
Pringles Potato Original Chips,chips,"savory, salty, potato, fiber-rich, seasoned",Kellogg's,1
Pringles Deli Cheese Potato Chips,chips,"cheesy, savory, creamy, potato, sunflower-oil, wheat, rice, corn, garlic, onion, peppery, yeasty, tangy",Kellogg's,1
Chipsy Cheese And Onion Flavoured Potato Chips,chips,"cheesy, oniony, creamy, savory, potato, spring-onion",Chipsy ,1
Big Chips Mexican Salsa Potato Chips,chips,"salsa, tomato, onion, chili, spicy, potato, sesame, tahini, cocoa, vanilla, sweet",Egypt Foods,0
Spuds Sour Cream and Onion Chips,chips,"sour cream, onion, creamy, savory, potato, crispy ",Food trip,0
Pringles Potato Sour Cream,chips,"sour cream, onion, creamy, savory, potato, tangy, milk, whey",Pringles ,1
Bake Rolz Nacho Cheese,chips,"Bake Rolz Nacho Cheese: nacho, cheese, cheddar, savory, wheat",Edita,1
Big Chips Sweet Lemon Potato Chips,chips,"lemon, citrus, sweet, sour, potato , crispy , chips ",Egypt Foods,0
Chipsy Potato Cheese,chips,"cheese, cheddar, savory, potato, creamy",PepsiCo,1
Forno Fusion Greek Mix Potato Chips,chips,"feta, oregano, olive oil, garlic, savory, tangy, potato",PepsiCo,1
Forno Fusion Sweet Chili and Tangy Cheese Potato Chips,chips,"chili, cheese, sweet, tangy, spicy, potato",PepsiCo,1
Pringles Deli Pizza Potato Chips,chips,"pizza, tomato, oregano, garlic, onion, cheese, savory, tangy, potato, milk",Kellogg's,1
Lion Chips with Ketchup,chips,"ketchup, tomato, vinegar, sweet, tangy, potato",Americana,1
Bake Rolz Wheat Snacks - Chili and Lemon Flavor,chips,"chili, lemon, wheat, spicy, zesty",Edita,1
Big Chips Classic,chips,"potato, savory, salty , crispy , chips ",Egypt Foods,0
Pringles Hot Sweet Chili Potato Chips,chips,"chili, sweet, spicy, garlic, onion, red bell pepper, cayenne, cumin, tomato, oregano, cheese, tangy, potato, milk, whey",Kellogg's,1
Pringles Paprika Potato Chips,chips,"paprika, smoky, sweet, savory, onion, garlic, vegetable broth, potato, milk, whey",Kellogg's,1
Bonz Premium Snacks with Glazed Cheese,chips,"cheese, glazed, savory, creamy, potato, fiber",Food trip,0
Bake Rolz Pizza,chips,"pizza, cheese, tomato, oregano, savory, wheat",Edita,1
Jaguar Wonder Pops Caramel Popcorn,chips,"caramel, sweet, buttery, corn, fiber",Egypt Foods,0
Abu Auf Caramel Popcorn,chips,"caramel, sweet, buttery, corn, sunflower oil, sugar, glucose, milk, nuts",Abu Auf,1
Pringles Barbeque Potato Chips,chips,"barbecue, smoky, savory, tangy, tomato, paprika, onion, garlic, potato, wheat flour, corn flour, rice flour, sunflower oil, sugar, lactose, salt, maltodextrin",Kellogg's,1
Doritos Flamin Hot Lemon Tortilla Chips,chips,"spicy, lime, tangy, citrus, corn, sunflower oil, canola oil, maltodextrin, salt, sugar, citric acid, cheddar cheese, romano cheese, buttermilk, whey, onion powder, garlic powder[](https://www.amazon.com/Doritos-Tortilla-Flamin-Cheddar-Cheese/dp/B08M2R8JRK)[](https://www.amazon.com/Doritos-Tortilla-Chips-Flamin-9-75oz/dp/B07YLZXW2K)[](https://www.super1foods.com/product/doritos-tortilla-chips-flamin-hot-limon-id-00028400516662)",PepsiCo,1
Abu Auf Lentil Snacks with Honey Mustard Flavour,chips,"honey, mustard, savory, tangy, lentils, rice protein, semolina, skimmed milk, whey, corn starch, vegetable oil, salt",Abu Auf,1
Bake Rolz with Salt,chips,"salty, sweet, smooth, wheat flour, sugar, vegetable oil, salt",Edita,1
Abu Auf Barbecue Pretzels,chips,"barbecue, smoky, tangy, wheat flour, salt, vegetable oil, sugar, onion powder, garlic powder, paprika, natural flavor",Abu Auf,1
Lion Deluxe Potato Chips with Quattro Formaggi Flavor,chips,"cheesy, creamy, tangy, savory, parmesan, cheddar, gorgonzola, mozzarella, potato, sunflower oil, maltodextrin, salt, dextrose, cheese flavor",Americana,1
Chipsy Potato Chips with Tomato,chips,"tomato, tangy, savory, potato, sunflower oil, salt, sugar, tomato powder, onion powder, garlic powder, natural flavor",PepsiCo,1
Big Chips Potato Chips with Spiced Cheese,chips,"spicy, cheesy, savory, potato, palm olein oil, cheese flavor",Egypt Foods,0
Bake Rolz Wheat Snacks with Olive Flavor,chips,"olive, savory, wheat, vegetable oil, salt, olive extract, natural flavor",Edita,1
Abu Auf Pretzels - Zaatar,chips,"zaatar, herbal, savory, tangy, wheat flour, salt, olive oil, thyme, sesame seeds",Abu Auf,1
Abu Auf Popcorn Caramel and Cinnamon,chips,"caramel, cinnamon, sweet, buttery, corn, sunflower oil, sugar, glucose, milk, nuts",Abu Auf,1
Raw Sea Salt and Balsamic Vinegar Kettle Cooked Potatoes,chips,"sea salt, balsamic vinegar, tangy, savory, potato, vegetable oil", Prisma Foods Egypt,1
Big Chips Parmesan And Pesto,chips,"parmesan, pesto, cheesy, herbaceous, basil, garlic, potato, sunflower oil, salt, cheese flavor",Egypt Foods,0
Pringles Salt & Vinegar Flavored Chips,chips,"salt, vinegar, tangy, savory, potato, sunflower oil, wheat flour, corn flour, rice flour, lactose, maltodextrin, citric acid, malic acid",Kellogg's,1
Lion Zigs Potato Chips with Spiced Cheese Flavor,chips,"spicy, cheesy, savory, potato, palm olein oil, cheese flavor",Americana,1
Raw Cheddar Cheese and Shallots Kettle Cooked Potatoes,chips,"salt, caramel, corn, sunflower oil, sugar, glucose, butter",Abu Auf,1
Abu Auf Salt and Caramel Popcorn,chips,"cheddar cheese, shallots, potatoes, vegetable oil, seasoning, crispy ", Prisma Foods Egypt,1
Bake Rolz Wheat Snacks with Spicy Lime,chips,"wheat, spicy lime, baked, toasted, not fried, healthy, guilt-free",Edita,1
Funday Sweet Chili Popcorn,chips,"sweet chili, popcorn kernel, vegetable oil, salt, flavor enhancer, milk, lactose, gluten, soya",Funday,0
Tiger Potato Chips with Seasoned Cheese Flavour,chips,"seasoned cheese, potato, savory, crispy",Egypt Foods,0
PRINGLES CHEESE & CHILI ,chips,"cheese, chili, potato, buttermilk, peppercorn, garlic, tomato, paprika, spicy, savory",Kellogg's,1
Fox Potato Chips with Sweet Chili Flavour,chips,"sweet chili, potato, spicy, sweet, crispy",Egypt Foods,0
Tiger Excellence Chili Ranch,chips,"chili, ranch, potato, spicy, creamy, crispy",Egypt Foods,0
SPUDS TRUFFLE CHEESE,chips,"truffle, cheese, potato, earthy, savory, crispy",Food trip,0
Break Sunchips Indian Snacks,chips,"whole grain, cheddar, salsa, onion, tomato, jalapeno, savory, spicy, crispy",Americana,1
Tiger Potato Chips with Chili and Lemon Flavour,chips,"chili, lemon, potato, spicy, citrus, crispy",Egypt Foods,0
Chipsy Wavy Potato Chips with Zesty Ranch and Cheese Flavor,chips,"zesty ranch, cheese, potato, tangy, creamy, crispy",PepsiCo,1
Chipsy Potato Chips with Sweet Chili,chips,"sweet chili, potato, spicy, sweet, crispy",PepsiCo,1
Break Sunchips Squeezy Snacks,chips,"whole grain, lemon, dill, citrus, savory, crispy",Americana,1
Spuds Sea Salt Potato Chips,chips,"sea salt, potato, savory, crispy",Food trip,0
Pringles Deli Cheese and Onion Potato Chips,chips,"cheese, onion, potato, savory, tangy, crispy ",Kellogg's,1
Break Sunchips Greek Snacks,chips,"olive, oregano, whole grain, savory, herby, crispy",Americana,1
Jaguar Sweet Heat Crackers,chips,"sweet chili, wheat, fiber, spicy, sweet, crispy",Egypt Foods,0
PRINGLES CHILI SOUR CREAM,chips,"dried potatoes, vegetable oil, corn flour, rice flour, maltodextrin, whey, sour cream, chili, onion powder, natural flavors, spicy, tangy, creamy, crispy",Kellogg's,1
Sunbites Cheese & Herbs Bread Bites,chips,"wheat flour, wholegrain wheat, vegetable oil, cheese, herbs, maltodextrin, whey, onion powder, parsley, sugar, salt, natural flavors, savory, cheesy, herby, crispy, crunchy",PepsiCo,1
Chipsy Cheese & Onion Potato Chips,chips,"potatoes, vegetable oil, cheese, onion, salt, natural flavors, savory, cheesy, oniony, crispy",PepsiCo,1
Tiger Potato Chips with Sweet Chili Flavour,chips,"potatoes, sunflower oil, sweet chili, sugar, salt, chili powder, natural flavors, sweet, spicy, tangy, crispy, crunchy",Egypt Foods,0
Break Fresh Snacks With Vegetables,chips,"potatoes, vegetable oil, onion powder, chili powder,cumin, salt, sugar, tomato powder, citric acid, tartaric acid, spicy, tangy, savory, high-fiber, crispy",Americana,1
Spuds Hot Sriracha Potato Chips,chips,"potatoes, vegetable oil, sriracha, chili, garlic, vinegar, sugar, salt, spicy, tangy, crispy, crunchy",Food trip,0
Bake Rolz with Sweet Chili,chips,"wheat flour, vegetable oil, sweet chili, sugar, chili powder, salt, natural flavors, sweet, spicy, smooth, crispy",Edita,1
Bonz Premium Snacks with Tomato Twister ,chips,"potatoes, vegetable oil, tomato powder, sugar, salt, natural flavors, natural color, sweetener, tangy, savory, high-fiber, crispy, crunchy",Food trip,0
Tiger Excellence Chili Ranch Chips,chips,"potatoes, vegetable oil, chili, ranch, buttermilk powder, garlic powder, onion powder, salt, sugar, natural flavors, spicy, creamy, tangy, crispy, crunchy",Egypt Foods,0
Raw Sweet Chili Kettle Cooked Potatoes,chips,"potatoes, vegetable oil, sweet chili seasoning, sugar, chili powder, salt, natural flavors, sweet, spicy, tangy, crispy, crunchy", Prisma Foods Egypt,1
